ClusterID,Classification,Waveform Duration (mirco s),Mean Firing Rate (Hz),Mean Autocorrelation
0,Other,266.6666667,5.981217033,21.63893721
1,Other,400,8.414016124,24.80656126
10,Pyramidal Neuron,633.3333333,3.83904134,22.10601932
11,Pyramidal Neuron,666.6666667,5.214401407,17.98214507
16,FSI,200,67.92646384,12.463257
19,Other,233.3333333,2.952281522,23.88558052
41,Pyramidal Neuron,766.6666667,1.255967342,15.81119747
43,Pyramidal Neuron,600,8.090580407,24.6011757
44,Pyramidal Neuron,700,5.063575032,15.16867573
55,Pyramidal Neuron,900,2.636290617,17.87725137
56,Pyramidal Neuron,766.6666667,4.030124846,18.43112141
60,FSI,266.6666667,38.84758,16.23576686
63,FSI,200,44.17806533,15.89974418
64,Pyramidal Neuron,700,6.792425797,15.11782304
65,Other,433.3333333,29.93365854,20.69592088
66,Other,333.3333333,23.07615958,22.06530941
67,FSI,133.3333333,53.65724102,14.75914842
69,Other,266.6666667,8.287454322,22.63977881
78,Pyramidal Neuron,633.3333333,0.316266639,11.44291971
79,Pyramidal Neuron,633.3333333,0.396780901,15.69599303
80,Other,333.3333333,7.05051261,23.81132774
81,Other,100,7.772107898,23.39770436
82,Pyramidal Neuron,533.3333333,0.242369988,12.97793427
83,Other,500,0.244851592,12.9168932
85,FSI,200,35.25063291,17.76250941
86,Pyramidal Neuron,600,1.003395205,13.21426704
91,Other,266.6666667,5.864581647,22.53100972
92,Other,233.3333333,13.51205788,20.87259583
94,FSI,333.3333333,48.78695537,14.66050917
96,Other,466.6666667,1.611388177,20.91392405
98,Pyramidal Neuron,566.6666667,4.959623399,27.93658101
99,Pyramidal Neuron,733.3333333,1.255691608,21.75454545
106,Pyramidal Neuron,700,3.821945846,18.45964004
107,Other,266.6666667,5.6478549,22.73701845
108,Other,433.3333333,3.987661845,22.959663
109,Pyramidal Neuron,566.6666667,8.03598512,22.0633293
110,Pyramidal Neuron,733.3333333,1.065711038,14.9724741
111,Pyramidal Neuron,633.3333333,1.313871435,16.06316606
112,Pyramidal Neuron,633.3333333,1.182346424,17.08618464
113,Other,200,7.183416289,23.50537831
117,Other,200,6.892241424,22.34393886
118,Pyramidal Neuron,633.3333333,1.711479537,17.40901861
119,Other,166.6666667,12.1912931,22.57566721
122,Pyramidal Neuron,533.3333333,2.497596528,23.86625253
123,Other,400,1.360194709,22.84126679
140,Pyramidal Neuron,533.3333333,20.15393303,18.88688135
150,Other,366.6666667,3.192445639,25.90228512
151,Pyramidal Neuron,766.6666667,5.08094626,22.21361222
152,Other,200,9.283404715,23.77565338
153,Other,200,9.389286484,23.66471863
166,Pyramidal Neuron,566.6666667,12.77474577,24.40961768
167,Pyramidal Neuron,633.3333333,4.342806946,22.23766316
168,Pyramidal Neuron,666.6666667,8.004275736,23.47046578
170,Pyramidal Neuron,666.6666667,12.18660563,24.18574813
171,Pyramidal Neuron,600,0.318196776,26.86794872
172,Pyramidal Neuron,633.3333333,16.22886276,23.52971571
173,Pyramidal Neuron,633.3333333,14.49835759,23.040387
189,Pyramidal Neuron,733.3333333,0.852844564,13.0994105
191,Pyramidal Neuron,666.6666667,2.552191815,12.61027936
194,Other,266.6666667,2.860737909,23.04928707
195,Pyramidal Neuron,700,1.08556387,18.30390684
196,FSI,100,30.14680075,19.02016597
197,Pyramidal Neuron,666.6666667,1.291536999,15.94758923
198,Pyramidal Neuron,633.3333333,0.235476643,12.54162479
199,Pyramidal Neuron,600,0.205697396,11.40845461
200,Pyramidal Neuron,633.3333333,0.877109136,12.50014939
201,Pyramidal Neuron,733.3333333,0.090440678,17.77142857
204,Other,433.3333333,3.230772634,24.94923912
208,Other,300,0.098436957,45.13333333
209,Other,200,0.781980984,24.64942529
210,Other,200,0.903028111,22.69431644
211,Pyramidal Neuron,633.3333333,0.099264159,16.27291667
212,Pyramidal Neuron,533.3333333,13.30415461,23.0525216
213,Pyramidal Neuron,600,1.230324101,27.02394366
215,Pyramidal Neuron,633.3333333,0.180605622,14.40424528
216,Pyramidal Neuron,666.6666667,2.553294751,16.70043132
217,Pyramidal Neuron,633.3333333,0.119668458,10.84717742
220,Pyramidal Neuron,700,2.896031832,12.36638236
222,Pyramidal Neuron,700,1.903390244,12.03924745
224,Pyramidal Neuron,633.3333333,0.966171145,12.25194494
227,Pyramidal Neuron,633.3333333,0.579868127,13.09131589
232,Pyramidal Neuron,633.3333333,0.220587019,20.26891892
233,Other,266.6666667,29.9275924,17.45503398
236,Pyramidal Neuron,700,2.831234395,9.998580102
