Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms,Spike Times (s),Cluster IDs,Unique_Cluster_IDs,Sorted_Cluster_IDs
395.9536,395.968,395.9792,395.968,8.422738075256348,25.6,"[395.95636666666667, 395.9578666666667, 395.961, 395.96136666666666, 395.9619666666667, 395.9621333333333, 395.96226666666666, 395.96256666666665, 395.96653333333336, 395.9673666666667, 395.9682666666667, 395.9696666666667, 395.9699, 395.97046666666665, 395.9763, 395.9775, 395.97766666666666]","[60, 199, 228, 63, 196, 67, 199, 85, 222, 199, 16, 60, 67, 199, 199, 85, 67]","60,199,228,63,196,67,85,222,16","16,60,63,67,85,196,199,222,228"
396.4532,396.4728,396.4908,396.4728,8.061243057250977,37.6,"[396.4537, 396.4540333333333, 396.45576666666665, 396.4569333333333, 396.4572333333333, 396.45933333333335, 396.45986666666664, 396.46006666666665, 396.4604, 396.4608, 396.4619666666667, 396.46393333333333, 396.4642333333333, 396.46436666666665, 396.4655666666667, 396.4663, 396.4667, 396.4675, 396.4686, 396.4695, 396.4705666666667, 396.47063333333335, 396.4707, 396.4748666666667, 396.4752, 396.47703333333334, 396.47723333333334, 396.4780333333333, 396.47833333333335, 396.48, 396.4814666666667, 396.4825, 396.4827, 396.48386666666664, 396.4851, 396.4867, 396.48676666666665, 396.4889333333333, 396.48903333333334, 396.48986666666667, 396.4904333333333]","[60, 85, 190, 67, 60, 16, 67, 85, 237, 60, 212, 67, 16, 190, 85, 60, 226, 138, 85, 67, 85, 60, 170, 85, 86, 212, 60, 63, 67, 85, 86, 60, 196, 67, 233, 60, 85, 86, 67, 63, 85]","60,85,190,67,16,237,212,226,138,170,86,63,196,233","16,60,63,67,85,86,138,170,190,196,212,226,233,237"
397.1432,397.154,397.1636,397.154,6.616577625274658,20.4,"[397.1432, 397.1439, 397.14636666666667, 397.1467333333333, 397.148, 397.15023333333335, 397.1519333333333, 397.152, 397.15206666666666, 397.1528333333333, 397.1528666666667, 397.1549, 397.15506666666664, 397.1551666666667, 397.1573333333333, 397.1575, 397.15816666666666, 397.1588, 397.1589333333333, 397.15926666666667, 397.1601333333333, 397.161, 397.1616666666667]","[216, 212, 85, 60, 67, 85, 216, 87, 191, 16, 67, 236, 87, 191, 216, 236, 85, 212, 67, 16, 94, 65, 60]","216,212,85,60,67,87,191,16,236,94,65","16,60,65,67,85,87,94,191,212,216,236"
397.6024,397.6056,397.6284,397.6056,2.2760047912597656,26.0,"[397.6025333333333, 397.60273333333333, 397.60613333333333, 397.60616666666664, 397.60693333333336, 397.60786666666667, 397.60793333333334, 397.6084333333333, 397.6092, 397.6100666666667, 397.6102666666667, 397.6107, 397.6122, 397.6141, 397.61626666666666, 397.6168666666667, 397.617, 397.617, 397.6170333333333, 397.6170666666667, 397.61743333333334, 397.6188333333333, 397.6189, 397.61993333333334, 397.62126666666666, 397.62256666666667, 397.6234333333333, 397.6238, 397.6238666666667, 397.6243666666667, 397.6256, 397.6256666666667, 397.6257, 397.626, 397.62603333333334, 397.62626666666665]","[94, 7, 85, 67, 16, 63, 7, 212, 226, 60, 67, 85, 16, 67, 85, 7, 63, 60, 233, 226, 67, 16, 226, 85, 67, 60, 16, 227, 85, 67, 170, 63, 16, 196, 224, 94]","94,7,85,67,16,63,212,226,60,233,227,170,196,224","7,16,60,63,67,85,94,170,196,212,224,226,227,233"
397.8448,397.8552,397.8728,397.8552,10.587706565856934,28.0,"[397.8448, 397.84516666666667, 397.84543333333335, 397.8464333333333, 397.84673333333336, 397.84836666666666, 397.8491333333333, 397.85023333333334, 397.8503666666667, 397.852, 397.85266666666666, 397.8541, 397.8543, 397.8547, 397.8562, 397.8573666666667, 397.85746666666665, 397.858, 397.8581, 397.8588, 397.8600666666667, 397.86286666666666, 397.8667, 397.8673333333333, 397.869, 397.8720666666667, 397.8723]","[67, 60, 85, 63, 66, 67, 85, 94, 98, 63, 60, 85, 120, 67, 170, 7, 16, 196, 63, 85, 60, 120, 85, 170, 63, 85, 94]","67,60,85,63,66,94,98,120,170,7,16,196","7,16,60,63,66,67,85,94,98,120,170,196"
398.26,398.2728,398.2816,398.2728,9.068065643310549,21.6,"[398.2607, 398.26166666666666, 398.2631666666667, 398.2631666666667, 398.2649666666667, 398.2656, 398.2658666666667, 398.266, 398.2662666666667, 398.2669, 398.2673, 398.26863333333336, 398.2695, 398.27113333333335, 398.2715333333333, 398.2715666666667, 398.2719666666667, 398.2726666666667, 398.2746666666667, 398.2755666666667, 398.27613333333335, 398.27683333333334, 398.2769, 398.2776666666667, 398.2794666666667, 398.2796666666667, 398.2798, 398.2798666666667, 398.2801, 398.28026666666665]","[16, 67, 85, 60, 67, 228, 170, 195, 98, 16, 60, 85, 67, 16, 195, 196, 7, 63, 67, 85, 67, 16, 7, 63, 233, 16, 67, 85, 190, 60]","16,67,85,60,228,170,195,98,196,7,63,233,190","7,16,60,63,67,85,98,170,190,195,196,228,233"
398.9192,398.93,398.9676,398.93,5.841054439544678,48.4,"[398.9195, 398.9201, 398.9223666666667, 398.9234666666667, 398.9252333333333, 398.92566666666664, 398.9270666666667, 398.92833333333334, 398.9295666666667, 398.9324, 398.9327666666667, 398.93483333333336, 398.93676666666664, 398.93696666666665, 398.93823333333336, 398.93856666666665, 398.94263333333333, 398.94423333333333, 398.9444, 398.9449, 398.9454333333333, 398.9461333333333, 398.94643333333335, 398.94733333333335, 398.9476666666667, 398.94843333333336, 398.9497, 398.95073333333335, 398.9514, 398.9526333333333, 398.95296666666667, 398.95306666666664, 398.95476666666667, 398.9548, 398.9549, 398.9551666666667, 398.9552, 398.9572333333333, 398.9578, 398.9603333333333, 398.96143333333333, 398.9628666666667, 398.9639, 398.96403333333336, 398.96526666666665, 398.9654, 398.9658333333333, 398.96723333333335, 398.96723333333335]","[140, 67, 16, 85, 170, 67, 85, 60, 63, 85, 67, 172, 63, 60, 85, 67, 67, 85, 94, 173, 16, 233, 216, 67, 226, 103, 116, 85, 226, 67, 16, 216, 116, 60, 85, 172, 67, 94, 16, 222, 85, 116, 16, 94, 67, 66, 60, 216, 63]","140,67,16,85,170,60,63,172,94,173,233,216,226,103,116,222,66","16,60,63,66,67,85,94,103,116,140,170,172,173,216,222,226,233"
401.8584,401.88,401.89,401.88,3.847810506820679,31.6,"[401.85943333333336, 401.86, 401.8601, 401.8613, 401.8617, 401.86396666666667, 401.86566666666664, 401.8658, 401.86583333333334, 401.8659, 401.86606666666665, 401.8666, 401.8666333333333, 401.8682333333333, 401.87053333333336, 401.8711, 401.8718333333333, 401.8720333333333, 401.87216666666666, 401.87233333333336, 401.87693333333334, 401.8783666666667, 401.8786333333333, 401.88343333333336, 401.8838, 401.8859, 401.8899666666667]","[60, 7, 85, 16, 67, 173, 85, 67, 94, 236, 16, 196, 7, 60, 85, 7, 173, 67, 60, 16, 85, 60, 67, 85, 67, 60, 67]","60,7,85,16,67,173,94,236,196","7,16,60,67,85,94,173,196,236"
401.9776,401.9864,401.9984,401.9864,3.9716758728027344,20.8,"[401.97816666666665, 401.9806, 401.9807, 401.9836, 401.9839, 401.984, 401.98403333333334, 401.9875666666667, 401.9901, 401.99053333333336, 401.9938, 401.99733333333336, 401.9974, 401.9979666666667]","[67, 173, 85, 60, 16, 67, 63, 226, 67, 16, 60, 212, 63, 233]","67,173,85,60,16,63,226,212,233","16,60,63,67,85,173,212,226,233"
403.55,403.5716,403.5732,403.5716,2.0800342559814453,23.2,"[403.5502333333333, 403.5507666666667, 403.5509666666667, 403.5513666666667, 403.55173333333335, 403.55226666666664, 403.5524, 403.5536, 403.5538, 403.55383333333333, 403.55516666666665, 403.5555, 403.5566, 403.5566333333333, 403.55716666666666, 403.55733333333336, 403.55743333333334, 403.5577333333333, 403.55873333333335, 403.55893333333336, 403.56036666666665, 403.5604333333333, 403.5607, 403.56146666666666, 403.56193333333334, 403.5622666666667, 403.56236666666666, 403.5624666666667, 403.56336666666664, 403.56556666666665, 403.56626666666665, 403.5679, 403.5683333333333, 403.5695333333333, 403.5699333333333, 403.5712]","[85, 196, 220, 196, 60, 16, 63, 67, 85, 173, 98, 67, 85, 222, 16, 220, 190, 63, 67, 85, 78, 222, 7, 60, 16, 85, 236, 60, 67, 16, 85, 67, 222, 196, 60, 16]","85,196,220,60,16,63,67,173,98,222,190,78,7,236","7,16,60,63,67,78,85,98,173,190,196,220,222,236"
