Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms,Spike Times (s),Cluster IDs,Unique_Cluster_IDs,Sorted_Cluster_IDs
395.9536,395.968,395.9792,395.968,8.422738075256348,25.6,"[395.955, 395.95546666666667, 395.9560333333333, 395.95636666666667, 395.9578666666667, 395.9592666666667, 395.9599333333333, 395.9605666666667, 395.961, 395.9612, 395.96136666666666, 395.9619666666667, 395.9621333333333, 395.96226666666666, 395.96233333333333, 395.96256666666665, 395.9646, 395.9646333333333, 395.96503333333334, 395.9651, 395.9664, 395.96653333333336, 395.9671333333333, 395.9673666666667, 395.9682666666667, 395.9696666666667, 395.9699, 395.97046666666665, 395.97203333333334, 395.9735333333333, 395.97356666666667, 395.97366666666665, 395.97386666666665, 395.9739, 395.9757333333333, 395.9763, 395.9764, 395.9775, 395.97766666666666, 395.97813333333335]","[57, 3, 107, 60, 199, 13, 174, 5, 228, 174, 63, 196, 67, 199, 37, 85, 119, 57, 153, 5, 118, 222, 5, 199, 16, 60, 67, 199, 14, 107, 57, 179, 55, 40, 166, 199, 41, 85, 67, 40]","[57, 3, 107, 60, 199, 13, 174, 5, 228, 63, 196, 67, 37, 85, 119, 153, 118, 222, 16, 14, 179, 55, 40, 166, 41]","[3, 5, 13, 14, 16, 37, 40, 41, 55, 57, 60, 63, 67, 85, 107, 118, 119, 153, 166, 174, 179, 196, 199, 222, 228]"
396.4532,396.4728,396.4908,396.4728,8.061243057250977,37.6,"[396.45323333333334, 396.4537, 396.4540333333333, 396.4542666666667, 396.45576666666665, 396.4569333333333, 396.4572333333333, 396.4583333333333, 396.4591, 396.4592666666667, 396.45933333333335, 396.45986666666664, 396.46006666666665, 396.4604, 396.4605666666667, 396.4608, 396.4619666666667, 396.46293333333335, 396.46296666666666, 396.46393333333333, 396.4642333333333, 396.4642333333333, 396.46436666666665, 396.46436666666665, 396.46473333333336, 396.4648666666667, 396.46543333333335, 396.4655666666667, 396.46566666666666, 396.4657, 396.4663, 396.4667, 396.4675, 396.4681, 396.4686, 396.46883333333335, 396.4695, 396.4696333333333, 396.4698333333333, 396.47023333333334, 396.4705666666667, 396.47063333333335, 396.4707, 396.471, 396.4712, 396.4733, 396.47363333333334, 396.4748666666667, 396.4751, 396.4752, 396.47526666666664, 396.47526666666664, 396.4753666666667, 396.47546666666665, 396.4756, 396.47566666666665, 396.47566666666665, 396.4762, 396.47703333333334, 396.47723333333334, 396.47796666666665, 396.4780333333333, 396.47833333333335, 396.47926666666666, 396.4793666666667, 396.48, 396.48043333333334, 396.48046666666664, 396.48083333333335, 396.48106666666666, 396.4814666666667, 396.48156666666665, 396.48156666666665, 396.48173333333335, 396.48203333333333, 396.48226666666665, 396.4825, 396.4827, 396.4829, 396.48333333333335, 396.4834, 396.4834666666667, 396.48386666666664, 396.48403333333334, 396.4848666666667, 396.4851, 396.48563333333334, 396.48586666666665, 396.4867, 396.48676666666665, 396.48696666666666, 396.4889333333333, 396.48903333333334, 396.48963333333336, 396.48986666666667, 396.48996666666665, 396.4904333333333, 396.4907333333333]","[119, 60, 85, 64, 190, 67, 60, 40, 56, 13, 16, 67, 85, 237, 3, 60, 212, 101, 81, 67, 16, 5, 190, 188, 11, 39, 3, 85, 153, 117, 60, 226, 138, 197, 85, 113, 67, 101, 197, 101, 85, 60, 170, 80, 108, 145, 64, 85, 102, 86, 3, 93, 1, 174, 40, 56, 37, 10, 212, 60, 14, 63, 67, 145, 119, 85, 166, 5, 11, 38, 86, 101, 123, 145, 197, 96, 60, 196, 54, 10, 100, 55, 67, 3, 13, 233, 69, 93, 60, 85, 118, 86, 67, 14, 63, 92, 85, 107]","[119, 60, 85, 64, 190, 67, 40, 56, 13, 16, 237, 3, 212, 101, 81, 5, 188, 11, 39, 153, 117, 226, 138, 197, 113, 170, 80, 108, 145, 102, 86, 93, 1, 174, 37, 10, 14, 63, 166, 38, 123, 96, 196, 54, 100, 55, 233, 69, 118, 92, 107]","[1, 3, 5, 10, 11, 13, 14, 16, 37, 38, 39, 40, 54, 55, 56, 60, 63, 64, 67, 69, 80, 81, 85, 86, 92, 93, 96, 100, 101, 102, 107, 108, 113, 117, 118, 119, 123, 138, 145, 153, 166, 170, 174, 188, 190, 196, 197, 212, 226, 233, 237]"
397.1432,397.154,397.1636,397.154,6.616577625274658,20.4,"[397.1432, 397.14343333333335, 397.1439, 397.14486666666664, 397.1451666666667, 397.1452, 397.14636666666667, 397.1467333333333, 397.148, 397.148, 397.1483, 397.1502, 397.15023333333335, 397.15063333333336, 397.1509, 397.15093333333334, 397.1519333333333, 397.152, 397.15206666666666, 397.1527, 397.1528333333333, 397.1528666666667, 397.15316666666666, 397.1535333333333, 397.15473333333335, 397.1549, 397.15506666666664, 397.1551666666667, 397.15546666666665, 397.1573333333333, 397.1575, 397.1577, 397.15816666666666, 397.1588, 397.1589333333333, 397.15926666666667, 397.1594333333333, 397.1596, 397.1601333333333, 397.1605333333333, 397.161, 397.1612666666667, 397.1616666666667]","[216, 40, 212, 179, 145, 107, 85, 60, 67, 0, 100, 174, 85, 3, 40, 100, 216, 87, 191, 56, 16, 67, 55, 132, 13, 236, 87, 191, 179, 216, 236, 3, 85, 212, 67, 16, 102, 55, 94, 13, 65, 119, 60]","[216, 40, 212, 179, 145, 107, 85, 60, 67, 0, 100, 174, 3, 87, 191, 56, 16, 55, 132, 13, 236, 102, 94, 65, 119]","[0, 3, 13, 16, 40, 55, 56, 60, 65, 67, 85, 87, 94, 100, 102, 107, 119, 132, 145, 174, 179, 191, 212, 216, 236]"
397.6024,397.6056,397.6284,397.6056,2.2760047912597656,26.0,"[397.6025333333333, 397.60266666666666, 397.60273333333333, 397.60383333333334, 397.6048666666667, 397.6053333333333, 397.60546666666664, 397.6055, 397.60606666666666, 397.6061, 397.60613333333333, 397.60616666666664, 397.60626666666667, 397.60693333333336, 397.6072, 397.6075, 397.60766666666666, 397.60783333333336, 397.60786666666667, 397.60786666666667, 397.6079, 397.60793333333334, 397.6084333333333, 397.60876666666667, 397.6092, 397.60926666666666, 397.6096333333333, 397.6100666666667, 397.6102, 397.6102666666667, 397.61063333333334, 397.6107, 397.61123333333336, 397.61123333333336, 397.6118666666667, 397.612, 397.61203333333333, 397.61203333333333, 397.6122, 397.6123, 397.61293333333333, 397.6132666666667, 397.6141, 397.6146, 397.6148, 397.61486666666667, 397.6152, 397.6157333333333, 397.6162, 397.61626666666666, 397.6164, 397.61653333333334, 397.6168333333333, 397.6168666666667, 397.617, 397.617, 397.6170333333333, 397.6170666666667, 397.6170666666667, 397.61743333333334, 397.6175666666667, 397.6179333333333, 397.6179666666667, 397.618, 397.6188333333333, 397.6188666666667, 397.6189, 397.6193666666667, 397.61993333333334, 397.6202333333333, 397.6202333333333, 397.62056666666666, 397.6206666666667, 397.6209, 397.62126666666666, 397.62193333333335, 397.62256666666667, 397.6227, 397.6227666666667, 397.6231, 397.6234333333333, 397.6234333333333, 397.6238, 397.6238666666667, 397.6238666666667, 397.62416666666667, 397.6243666666667, 397.6249, 397.6256, 397.6256, 397.6256666666667, 397.6257, 397.6259, 397.626, 397.62603333333334, 397.6262, 397.62626666666665, 397.6263, 397.6263666666667, 397.6268333333333, 397.628, 397.6284]","[94, 179, 7, 10, 150, 11, 39, 101, 117, 101, 85, 67, 102, 16, 132, 118, 55, 5, 63, 40, 179, 7, 212, 166, 226, 11, 101, 60, 11, 67, 41, 85, 5, 70, 64, 93, 13, 56, 16, 102, 1, 41, 67, 11, 153, 102, 93, 101, 77, 85, 10, 105, 179, 7, 63, 60, 233, 226, 19, 67, 102, 119, 92, 10, 16, 107, 226, 64, 85, 102, 93, 132, 145, 3, 67, 13, 60, 179, 153, 11, 16, 96, 227, 85, 188, 93, 67, 80, 170, 119, 63, 16, 5, 196, 224, 70, 94, 188, 145, 56, 37, 179]","[94, 179, 7, 10, 150, 11, 39, 101, 117, 85, 67, 102, 16, 132, 118, 55, 5, 63, 40, 212, 166, 226, 60, 41, 70, 64, 93, 13, 56, 1, 153, 77, 105, 233, 19, 119, 92, 107, 145, 3, 96, 227, 188, 80, 170, 196, 224, 37]","[1, 3, 5, 7, 10, 11, 13, 16, 19, 37, 39, 40, 41, 55, 56, 60, 63, 64, 67, 70, 77, 80, 85, 92, 93, 94, 96, 101, 102, 105, 107, 117, 118, 119, 132, 145, 150, 153, 166, 170, 179, 188, 196, 212, 224, 226, 227, 233]"
397.8448,397.8552,397.8728,397.8552,10.587706565856934,28.0,"[397.8448, 397.84516666666667, 397.84516666666667, 397.8452, 397.84543333333335, 397.84586666666667, 397.8464333333333, 397.8466, 397.84673333333336, 397.8468, 397.84726666666666, 397.84836666666666, 397.8487333333333, 397.84903333333335, 397.8491333333333, 397.85023333333334, 397.8503666666667, 397.8507, 397.852, 397.8521666666667, 397.8522, 397.85266666666666, 397.8541, 397.8543, 397.8546666666667, 397.8547, 397.8557333333333, 397.8562, 397.8567, 397.8573, 397.8573666666667, 397.8573666666667, 397.85746666666665, 397.858, 397.8580333333333, 397.8581, 397.8582666666667, 397.85833333333335, 397.85863333333333, 397.8588, 397.85886666666664, 397.8600666666667, 397.862, 397.86286666666666, 397.8661666666667, 397.8667, 397.8673333333333, 397.8679666666667, 397.869, 397.8720666666667, 397.8722, 397.8723]","[67, 101, 60, 197, 85, 41, 63, 70, 66, 188, 179, 67, 69, 13, 85, 94, 98, 11, 63, 57, 179, 60, 85, 120, 166, 67, 188, 170, 11, 179, 13, 7, 16, 196, 41, 63, 56, 40, 39, 85, 5, 60, 64, 120, 5, 85, 170, 5, 63, 85, 39, 94]","[67, 101, 60, 197, 85, 41, 63, 70, 66, 188, 179, 69, 13, 94, 98, 11, 57, 120, 166, 170, 7, 16, 196, 56, 40, 39, 5, 64]","[5, 7, 11, 13, 16, 39, 40, 41, 56, 57, 60, 63, 64, 66, 67, 69, 70, 85, 94, 98, 101, 120, 166, 170, 179, 188, 196, 197]"
398.26,398.2728,398.2816,398.2728,9.068065643310549,21.6,"[398.2607, 398.26166666666666, 398.2631666666667, 398.2631666666667, 398.26443333333333, 398.2649666666667, 398.2656, 398.2658666666667, 398.266, 398.26613333333336, 398.2662666666667, 398.2662666666667, 398.26686666666666, 398.2669, 398.2673, 398.2676, 398.2681333333333, 398.26863333333336, 398.2687, 398.2695, 398.26956666666666, 398.26976666666667, 398.271, 398.27113333333335, 398.2715333333333, 398.2715666666667, 398.2719, 398.2719666666667, 398.2726666666667, 398.27323333333334, 398.27323333333334, 398.2746666666667, 398.2755666666667, 398.27613333333335, 398.27666666666664, 398.27683333333334, 398.27683333333334, 398.27683333333334, 398.2769, 398.2771666666667, 398.2776666666667, 398.2776666666667, 398.27776666666665, 398.2778333333333, 398.2787333333333, 398.2794, 398.2794666666667, 398.2796666666667, 398.2798, 398.27983333333333, 398.2798666666667, 398.2801, 398.28026666666665, 398.28073333333333]","[16, 67, 85, 60, 119, 67, 228, 170, 195, 11, 98, 107, 11, 16, 60, 102, 162, 85, 113, 67, 132, 96, 13, 16, 195, 196, 179, 7, 63, 174, 106, 67, 85, 67, 145, 11, 16, 100, 7, 153, 101, 63, 105, 188, 10, 179, 233, 16, 67, 13, 85, 190, 60, 39]","[16, 67, 85, 60, 119, 228, 170, 195, 11, 98, 107, 102, 162, 113, 132, 96, 13, 196, 179, 7, 63, 174, 106, 145, 100, 153, 101, 105, 188, 10, 233, 190, 39]","[7, 10, 11, 13, 16, 39, 60, 63, 67, 85, 96, 98, 100, 101, 102, 105, 106, 107, 113, 119, 132, 145, 153, 162, 170, 174, 179, 188, 190, 195, 196, 228, 233]"
398.9192,398.93,398.9676,398.93,5.841054439544678,48.4,"[398.9195, 398.9201, 398.9209, 398.9212333333333, 398.9216666666667, 398.9223666666667, 398.92266666666666, 398.9234666666667, 398.9236, 398.9248666666667, 398.9252333333333, 398.92566666666664, 398.92646666666667, 398.9270666666667, 398.92833333333334, 398.9295666666667, 398.93013333333334, 398.9321, 398.9324, 398.9327666666667, 398.933, 398.93483333333336, 398.93573333333336, 398.93676666666664, 398.93696666666665, 398.93756666666667, 398.93823333333336, 398.93856666666665, 398.9397333333333, 398.9402, 398.9421, 398.94233333333335, 398.94236666666666, 398.94236666666666, 398.9424666666667, 398.94263333333333, 398.9432, 398.94423333333333, 398.9444, 398.9449, 398.9454333333333, 398.9458, 398.9458333333333, 398.9461333333333, 398.94643333333335, 398.9470666666667, 398.94733333333335, 398.9476666666667, 398.94773333333336, 398.94803333333334, 398.94826666666665, 398.94843333333336, 398.94843333333336, 398.9497, 398.9504333333333, 398.95073333333335, 398.95123333333333, 398.9514, 398.9526333333333, 398.95296666666667, 398.95306666666664, 398.9532, 398.9541, 398.95456666666666, 398.95476666666667, 398.9548, 398.9549, 398.9551666666667, 398.9552, 398.95533333333333, 398.9572333333333, 398.9576, 398.9578, 398.9587333333333, 398.95916666666665, 398.9603333333333, 398.96143333333333, 398.9624, 398.9628666666667, 398.9639, 398.96403333333336, 398.96526666666665, 398.9654, 398.9658333333333, 398.9664333333333, 398.96703333333335, 398.96723333333335, 398.96723333333335]","[140, 67, 0, 0, 101, 16, 107, 85, 117, 11, 170, 67, 174, 85, 60, 63, 55, 81, 85, 67, 109, 172, 117, 63, 60, 5, 85, 67, 11, 109, 107, 109, 41, 102, 3, 67, 152, 85, 94, 173, 16, 109, 1, 233, 216, 13, 67, 226, 107, 11, 101, 103, 11, 116, 5, 85, 179, 226, 67, 16, 216, 109, 119, 153, 116, 60, 85, 172, 67, 3, 94, 108, 16, 5, 14, 222, 85, 40, 116, 16, 94, 67, 66, 60, 188, 118, 216, 63]","[140, 67, 0, 101, 16, 107, 85, 117, 11, 170, 174, 60, 63, 55, 81, 109, 172, 5, 41, 102, 3, 152, 94, 173, 1, 233, 216, 13, 226, 103, 116, 179, 119, 153, 108, 14, 222, 40, 66, 188, 118]","[0, 1, 3, 5, 11, 13, 14, 16, 40, 41, 55, 60, 63, 66, 67, 81, 85, 94, 101, 102, 103, 107, 108, 109, 116, 117, 118, 119, 140, 152, 153, 170, 172, 173, 174, 179, 188, 216, 222, 226, 233]"
401.8584,401.88,401.89,401.88,3.847810506820679,31.6,"[401.85883333333334, 401.85943333333336, 401.85996666666665, 401.86, 401.8601, 401.8602333333333, 401.8613, 401.8617, 401.863, 401.86396666666667, 401.86426666666665, 401.8654333333333, 401.86566666666664, 401.8658, 401.86583333333334, 401.86586666666665, 401.8659, 401.86606666666665, 401.8662, 401.86653333333334, 401.8666, 401.8666333333333, 401.86746666666664, 401.86766666666665, 401.8677666666667, 401.8682333333333, 401.8700333333333, 401.8701, 401.8704333333333, 401.87053333333336, 401.87086666666664, 401.87103333333334, 401.8711, 401.8718333333333, 401.8720333333333, 401.87216666666666, 401.87233333333336, 401.87536666666665, 401.8754666666667, 401.87586666666664, 401.87693333333334, 401.87693333333334, 401.87713333333335, 401.87833333333333, 401.8783666666667, 401.8786333333333, 401.88283333333334, 401.88343333333336, 401.8838, 401.8843, 401.88536666666664, 401.8859, 401.8899666666667]","[13, 60, 179, 7, 85, 119, 16, 67, 107, 173, 218, 106, 85, 67, 94, 113, 236, 16, 117, 179, 196, 7, 101, 105, 13, 60, 174, 5, 56, 85, 101, 179, 7, 173, 67, 60, 16, 101, 69, 5, 85, 11, 40, 5, 60, 67, 70, 85, 67, 19, 11, 60, 67]","[13, 60, 179, 7, 85, 119, 16, 67, 107, 173, 218, 106, 94, 113, 236, 117, 196, 101, 105, 174, 5, 56, 69, 11, 40, 70, 19]","[5, 7, 11, 13, 16, 19, 40, 56, 60, 67, 69, 70, 85, 94, 101, 105, 106, 107, 113, 117, 119, 173, 174, 179, 196, 218, 236]"
401.9776,401.9864,401.9984,401.9864,3.9716758728027344,20.8,"[401.97816666666665, 401.9784333333333, 401.97866666666664, 401.9806, 401.9807, 401.98083333333335, 401.98113333333333, 401.98173333333335, 401.9830666666667, 401.9832333333333, 401.98356666666666, 401.9836, 401.9839, 401.9839, 401.984, 401.98403333333334, 401.9870666666667, 401.98716666666667, 401.9875666666667, 401.9884666666667, 401.9886666666667, 401.98963333333336, 401.9901, 401.99053333333336, 401.9938, 401.99583333333334, 401.9963333333333, 401.99733333333336, 401.9974, 401.9979666666667, 401.9981]","[67, 174, 0, 173, 85, 64, 179, 93, 64, 91, 0, 60, 16, 5, 67, 63, 174, 5, 226, 174, 179, 5, 67, 16, 60, 70, 5, 212, 63, 233, 179]","[67, 174, 0, 173, 85, 64, 179, 93, 91, 60, 16, 5, 63, 226, 70, 212, 233]","[0, 5, 16, 60, 63, 64, 67, 70, 85, 91, 93, 173, 174, 179, 212, 226, 233]"
403.55,403.5716,403.5732,403.5716,2.0800342559814453,23.2,"[403.5502333333333, 403.5507666666667, 403.5509666666667, 403.5513666666667, 403.5514, 403.55173333333335, 403.5518333333333, 403.5519, 403.55216666666666, 403.55226666666664, 403.5524, 403.55246666666665, 403.5526, 403.5526, 403.55306666666667, 403.5536, 403.5538, 403.55383333333333, 403.55403333333334, 403.55426666666665, 403.5550666666667, 403.55516666666665, 403.5552333333333, 403.5552666666667, 403.55533333333335, 403.5554, 403.5554666666667, 403.5555, 403.55556666666666, 403.55566666666664, 403.5561333333333, 403.5561333333333, 403.5566, 403.5566333333333, 403.55673333333334, 403.55716666666666, 403.55733333333336, 403.55743333333334, 403.55743333333334, 403.5577333333333, 403.5577333333333, 403.55786666666665, 403.55836666666664, 403.5585, 403.5587, 403.55873333333335, 403.55893333333336, 403.5591333333333, 403.5593, 403.5595666666667, 403.56, 403.56036666666665, 403.5604333333333, 403.5607, 403.5611666666667, 403.56123333333335, 403.5613333333333, 403.56146666666666, 403.56166666666667, 403.5618666666667, 403.56193333333334, 403.56193333333334, 403.5622666666667, 403.56236666666666, 403.56243333333333, 403.5624666666667, 403.5627, 403.56283333333334, 403.5631333333333, 403.5631666666667, 403.56333333333333, 403.56336666666664, 403.5634333333333, 403.5636, 403.5638, 403.56393333333335, 403.5643666666667, 403.5644, 403.5649, 403.56536666666665, 403.56556666666665, 403.56556666666665, 403.56626666666665, 403.5663333333333, 403.56666666666666, 403.56766666666664, 403.5679, 403.56823333333335, 403.5683333333333, 403.56873333333334, 403.5689, 403.5695333333333, 403.56963333333334, 403.5697, 403.5699333333333, 403.5702333333333, 403.5708666666667, 403.5712, 403.5722, 403.5731333333333]","[85, 196, 220, 196, 101, 60, 100, 162, 69, 16, 63, 153, 102, 117, 13, 67, 85, 173, 106, 50, 204, 98, 145, 185, 102, 81, 69, 67, 101, 118, 152, 5, 85, 222, 106, 16, 220, 190, 13, 198, 63, 122, 52, 11, 106, 67, 85, 3, 38, 55, 13, 78, 222, 7, 188, 0, 3, 60, 106, 102, 16, 13, 85, 236, 52, 60, 107, 101, 19, 5, 153, 67, 136, 113, 39, 118, 106, 102, 5, 198, 16, 13, 85, 52, 5, 13, 67, 11, 222, 5, 179, 196, 101, 198, 60, 3, 13, 16, 14, 106]","[85, 196, 220, 101, 60, 100, 162, 69, 16, 63, 153, 102, 117, 13, 67, 173, 106, 50, 204, 98, 145, 185, 81, 118, 152, 5, 222, 190, 198, 122, 52, 11, 3, 38, 55, 78, 7, 188, 0, 236, 107, 19, 136, 113, 39, 179, 14]","[0, 3, 5, 7, 11, 13, 14, 16, 19, 38, 39, 50, 52, 55, 60, 63, 67, 69, 78, 81, 85, 98, 100, 101, 102, 106, 107, 113, 117, 118, 122, 136, 145, 152, 153, 162, 173, 179, 185, 188, 190, 196, 198, 204, 220, 222, 236]"
